Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,<500 [<200 - 1100],<1000 [<500 - 1400],<1000 [<500 - 1900],1000 [<500 - 2300],1200 [<500 - 2700],1400 [<1000 - 3000],1500 [<1000 - 3100],1600 [<1000 - 3400],1800 [<1000 - 3500],1900 [<1000 - 3800],2100 [1100 - 4000],2300 [1200 - 4400],2500 [1400 - 4700],2800 [1600 - 5100],3000 [1800 - 5600],3300 [2000 - 6200],3600 [2200 - 6500],3800 [2400 - 6900],4100 [2600 - 7500],4400 [2800 - 8000],4800 [3100 - 8900],5200 [3300 - 9800],5600 [3600 - 11 000],6100 [3800 - 12 000],6700 [4100 - 13 000]
Algeria,<500 [<100 - 5200],<500 [<100 - 5600],<1000 [<100 - 6200],<1000 [<100 - 6600],<1000 [<100 - 7200],<1000 [<100 - 7900],1100 [<100 - 8800],1300 [<100 - 9500],1500 [<200 - 10 000],1800 [<200 - 11 000],2000 [<200 - 12 000],2400 [<500 - 13 000],2700 [<500 - 14 000],3100 [<500 - 15 000],3500 [<500 - 15 000],4000 [<500 - 16 000],4500 [<1000 - 17 000],5100 [<1000 - 18 000],5700 [<1000 - 19 000],6500 [1100 - 20 000],7200 [1200 - 20 000],8000 [1600 - 21 000],8800 [1900 - 23 000],9600 [2300 - 24 000],11 000 [2600 - 26 000]
Angola,27 000 [12 000 - 69 000],32 000 [15 000 - 81 000],39 000 [18 000 - 94 000],46 000 [22 000 - 110 000],55 000 [27 000 - 120 000],64 000 [33 000 - 130 000],74 000 [40 000 - 150 000],86 000 [47 000 - 160 000],97 000 [56 000 - 170 000],110 000 [65 000 - 190 000],120 000 [76 000 - 200 000],140 000 [87 000 - 220 000],150 000 [99 000 - 230 000],160 000 [110 000 - 250 000],180 000 [120 000 - 260 000],190 000 [130 000 - 280 000],200 000 [140 000 - 290 000],220 000 [150 000 - 310 000],230 000 [160 000 - 330 000],240 000 [170 000 - 340 000],260 000 [180 000 - 360 000],270 000 [190 000 - 380 000],280 000 [200 000 - 400 000],290 000 [210 000 - 410 000],300 000 [220 000 - 430 000]
Argentina,19 000 [11 000 - 26 000],23 000 [13 000 - 31 000],26 000 [16 000 - 36 000],30 000 [18 000 - 42 000],35 000 [21 000 - 48 000],39 000 [24 000 - 53 000],43 000 [26 000 - 59 000],47 000 [29 000 - 65 000],51 000 [31 000 - 71 000],56 000 [34 000 - 77 000],61 000 [37 000 - 83 000],65 000 [40 000 - 89 000],70 000 [43 000 - 96 000],76 000 [46 000 - 100 000],81 000 [49 000 - 110 000],85 000 [52 000 - 120 000],90 000 [55 000 - 120 000],95 000 [58 000 - 130 000],100 000 [61 000 - 140 000],100 000 [64 000 - 140 000],110 000 [67 000 - 150 000],110 000 [70 000 - 160 000],120 000 [72 000 - 160 000],120 000 [75 000 - 170 000],130 000 [78 000 - 170 000]
Armenia,<100 [<100 - <100],<100 [<100 - <500],<100 [<100 - <1000],<100 [<100 - <1000],<100 [<100 - <1000],<100 [<100 - <1000],<200 [<100 - <1000],<500 [<100 - <1000],<500 [<100 - <1000],<1000 [<200 - 1400],<1000 [<500 - 2000],1400 [<500 - 2900],1900 [<1000 - 3700],2300 [1200 - 4300],2700 [1400 - 4700],2900 [1600 - 4900],3100 [1800 - 5000],3200 [1900 - 5100],3300 [2100 - 5200],3400 [2200 - 5200],3500 [2300 - 5100],3600 [2400 - 5200],3700 [2500 - 5400],3800 [2600 - 5600],4000 [2700 - 5900]
Azerbaijan,<100 [<100 - <100],<100 [<100 - <100],<100 [<100 - <200],<100 [<100 - <200],<100 [<100 - <500],<200 [<100 - <500],<500 [<100 - <500],<500 [<200 - <1000],<1000 [<200 - 1400],<1000 [<500 - 2100],1200 [<500 - 2700],1700 [<1000 - 3300],2200 [<1000 - 4000],2700 [1300 - 4700],3300 [1800 - 5300],3800 [2200 - 6100],4300 [2700 - 6800],4800 [3100 - 7500],5300 [3500 - 8200],5900 [3900 - 9000],6400 [4300 - 9700],6900 [4600 - 10 000],7400 [4900 - 11 000],7900 [5200 - 12 000],8400 [5600 - 12 000]
Bangladesh,<100 [<100 - <100],<100 [<100 - <100],<100 [<100 - <100],<100 [<100 - <100],<200 [<200 - <200],<200 [<200 - <200],<500 [<500 - <500],<500 [<500 - <500],<500 [<500 - <500],<1000 [<1000 - <1000],1000 [<1000 - 1100],1400 [1300 - 1500],2000 [1800 - 2100],2600 [2300 - 2800],3300 [3000 - 3600],4100 [3600 - 4400],4800 [4300 - 5200],5500 [5000 - 6000],6200 [5600 - 6800],6900 [6200 - 7500],7500 [6800 - 8200],8000 [7200 - 8800],8400 [7600 - 9200],8700 [7800 - 9500],8900 [8000 - 9800]
Belarus,<100 [<100 - <1000],<200 [<100 - <1000],<500 [<100 - 1000],<500 [<100 - 1400],<1000 [<200 - 1800],1000 [<500 - 2500],1700 [<1000 - 3400],2500 [1200 - 4600],3700 [2000 - 6100],5200 [3200 - 7900],6900 [4600 - 9800],8800 [6300 - 12 000],11 000 [8000 - 14 000],13 000 [9700 - 17 000],14 000 [11 000 - 18 000],16 000 [13 000 - 20 000],17 000 [14 000 - 22 000],19 000 [15 000 - 24 000],20 000 [16 000 - 26 000],22 000 [17 000 - 27 000],23 000 [18 000 - 29 000],25 000 [20 000 - 31 000],26 000 [21 000 - 33 000],28 000 [23 000 - 35 000],29 000 [24 000 - 36 000]
Belize,<100 [<100 - <100],<100 [<100 - <100],<100 [<100 - <100],<100 [<100 - <200],<100 [<100 - <500],<200 [<100 - <1000],<500 [<100 - <1000],<1000 [<500 - 1400],1100 [<500 - 1900],1500 [<1000 - 2300],1900 [1300 - 2500],2100 [1600 - 2600],2200 [1800 - 2700],2200 [1900 - 2700],2300 [2000 - 2800],2400 [2100 - 2800],2400 [2100 - 2800],2400 [2200 - 2900],2500 [2200 - 2900],2500 [2200 - 2900],2500 [2200 - 2900],2500 [2300 - 2900],2600 [2300 - 3000],2600 [2200 - 7700],2700 [2200 - 7700]
Benin,13 000 [9300 - 18 000],16 000 [12 000 - 21 000],19 000 [14 000 - 25 000],23 000 [17 000 - 29 000],27 000 [21 000 - 33 000],32 000 [25 000 - 38 000],37 000 [29 000 - 43 000],41 000 [34 000 - 48 000],45 000 [38 000 - 52 000],49 000 [41 000 - 56 000],52 000 [44 000 - 60 000],55 000 [47 000 - 63 000],58 000 [50 000 - 66 000],60 000 [52 000 - 68 000],61 000 [53 000 - 69 000],62 000 [54 000 - 71 000],63 000 [55 000 - 71 000],63 000 [55 000 - 72 000],64 000 [56 000 - 72 000],67 000 [58 000 - 76 000],70 000 [61 000 - 79 000],74 000 [64 000 - 84 000],76 000 [66 000 - 86 000],77 000 [67 000 - 87 000],78 000 [68 000 - 90 000]
